source;target;weight
adru [[dark, afraid, scared, threshing floor]];šutadduru [[constantly terrified]];0.022
adru [[dark, afraid, scared, threshing floor]];tabriu [[fodder crop]];0.017
adru [[dark, afraid, scared, threshing floor]];adru [[dark, afraid, scared, threshing floor]];0.016
adru [[dark, afraid, scared, threshing floor]];tēlītu [[produce, revenue]];0.013
adru [[dark, afraid, scared, threshing floor]];mašādu [[beat]];0.011
adru [[dark, afraid, scared, threshing floor]];kirû [[(fruit) plantation, orchard, garden]];0.011
adru [[dark, afraid, scared, threshing floor]];būrtu [[cistern, well, cow]];0.011
adru [[dark, afraid, scared, threshing floor]];barārīti [[evening watch]];0.01
adru [[dark, afraid, scared, threshing floor]];antallû [[eclipse]];0.009
adru [[dark, afraid, scared, threshing floor]];iltāni [[north]];0.009
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];iltāni [[north]];0.019
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];šūti [[south]];0.016
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];šadî [[east]];0.016
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];šalgu [[snow]];0.012
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];šuribatu [[terror?]];0.011
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];šuttinnu [[bat]];0.011
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];huliam [[helmet]];0.011
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];antallû [[eclipse]];0.01
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];šāt&&urri [[who(m)&&daytime]];0.009
adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];adāru [[be(come) dark, be(come) afraid (of), (a tree), be(come) afraid, be afraid (of), be(come) afraid of, (be)come dark]];0.009
ezzu [[furious]];kakku [[stick, weapon]];0.014
ezzu [[furious]];šumru [[fury]];0.012
ezzu [[furious]];šamru [[furious, furious one, (a plant)]];0.011
ezzu [[furious]];Girra [[1, fire(-god)]];0.011
ezzu [[furious]];allallu [[(a kind of bird), powerful, powerful one]];0.011
ezzu [[furious]];hamuttu [[haste]];0.009
ezzu [[furious]];tību [[attack, arousal]];0.009
ezzu [[furious]];ḫamāṭu [[burn (up)]];0.009
ezzu [[furious]];mušamqitu [[overturning, one who brings to fall, one who overthrows]];0.009
ezzu [[furious]];ziāqu [[blow]];0.007
ezēzu [[be(come) angry]];nīdu [[l(a)ying, cumulus cloud, laying down, l(a)ying (down), (meaning uncertain)]];0.019
ezēzu [[be(come) angry]];erhu [[aggressive]];0.017
ezēzu [[be(come) angry]];agāgu [[be(come) furious, to be(come) furious]];0.012
ezēzu [[be(come) angry]];purruku [[lying across, blocked]];0.01
ezēzu [[be(come) angry]];Anum [[1]];0.009
ezēzu [[be(come) angry]];šulû [[street]];0.007
ezēzu [[be(come) angry]];sakāpu [[push down, rest, push away]];0.006
ezēzu [[be(come) angry]];hašû [[lung(s), thyme?, dark, crush, to be(come) dark, thyme]];0.006
ezēzu [[be(come) angry]];būšānu [[bad smell, (a plant)]];0.005
ezēzu [[be(come) angry]];ṣarāhu [[heat up, flare, cry out, wail, light up, send]];0.005
galātu [[tremble]];galātu [[tremble]];0.03
galātu [[tremble]];daʾmu [[dark, dark one]];0.013
galātu [[tremble]];sakālu [[balk, acquire]];0.009
galātu [[tremble]];bašāmu [[create, sackcloth, allocate]];0.006
galātu [[tremble]];awīlu [[man]];0.005
galātu [[tremble]];palāhu [[fear, be(come) afraid]];0.005
galātu [[tremble]];nâlu [[lie down, lie down (to sleep)]];0.005
galātu [[tremble]];bāštu [[dignity]];0.005
galātu [[tremble]];nabāṭu [[be(come) bright]];0.005
galātu [[tremble]];mayyālu [[bed]];0.004
gilittu [[terror]];pirittu [[terror]];0.038
gilittu [[terror]];ašuštu [[affliction]];0.02
gilittu [[terror]];arurtu [[famine]];0.019
gilittu [[terror]];nakādu [[beat]];0.018
gilittu [[terror]];šahṭu [[jumped, stripped, stripped?, attacking, formed]];0.017
gilittu [[terror]];ḫūṣu [[pain]];0.016
gilittu [[terror]];adirtu [[gloominess, fear]];0.016
gilittu [[terror]];ḫīpu [[break]];0.014
gilittu [[terror]];māru&&bārû [[son&&diviner]];0.011
gilittu [[terror]];mūšu [[night]];0.01
kimiltu [[wrath]];ridâtu [[persecution]];0.017
kimiltu [[wrath]];pašāru [[release, loosen]];0.008
kimiltu [[wrath]];ilu [[god, lament, song, pure]];0.006
kimiltu [[wrath]];Zappu [[Bristle, 1, Pleiades]];0.005
kimiltu [[wrath]];magir [[favourable, agreeable]];0.005
kimiltu [[wrath]];wardu [[slave]];0.004
kimiltu [[wrath]];awīlu [[man]];0.004
kimiltu [[wrath]];ištaru [[goddess]];0.004
kimiltu [[wrath]];halāqu [[be(come) lost, (be) lost]];0.003
kimiltu [[wrath]];palāsu [[look (at), look at, see, look]];0.003
libbātu [[rage]];malû [[full, be(come) full, abundance, matted hair, matted, dirty (body) hair, full one, be full, matted, matted (body) hair]];0.008
libbātu [[rage]];ašarēdu [[pre-eminent one, first and foremost, first and foremost one]];0.006
libbātu [[rage]];Nippur_P [?];0.006
libbātu [[rage]];nêru [[kill, strike, killer]];0.005
libbātu [[rage]];šemû [[hear, listen, hearing, heard, accept (prayer), informed]];0.003
libbātu [[rage]];Enlil [[1]];0.003
libbātu [[rage]];ṭēmu [[(fore)thought, reason, report]];0.002
libbātu [[rage]];ilu [[god, lament, song, pure]];0.002
libbātu [[rage]];Šamaš [[1]];0.002
