source;target;weight
adāru_2 [be afraid 155];šalgu_1 [snow 9];0.012
adāru_2 [be afraid 155];huliam_1 [helmet 7];0.011
adāru_2 [be afraid 155];šudlupu_1 [sleepless 5];0.01
adāru_2 [be afraid 155];šuribatu_1 [terror 10];0.01
adāru_2 [be afraid 155];tāhāzu_1 [battle 547];0.01
adāru_2 [be afraid 155];šuttinnu_1 [bat 8];0.01
adāru_2 [be afraid 155];sipittu_1 [mourning rites 6];0.009
adāru_2 [be afraid 155];adāru_2 [be afraid 155];0.009
adāru_2 [be afraid 155];ḫīpu_1 [break 18];0.009
adāru_2 [be afraid 155];arurtu_1 [famine 5];0.009
agāgu_1 [be furious 69];kak-dāmi_1 [bloodstained weapon 5];0.015
agāgu_1 [be furious 69];kabattu_1 [liver 133];0.013
agāgu_1 [be furious 69];rêmu_1 [merciful 17];0.011
agāgu_1 [be furious 69];nâhu_1 [rest 75];0.011
agāgu_1 [be furious 69];kisurrû_1 [border 7];0.01
agāgu_1 [be furious 69];ṣarāhu_1 [flare 51];0.009
agāgu_1 [be furious 69];zummû_1 [deprived 19];0.008
agāgu_1 [be furious 69];ezēzu_1 [be angry 205];0.007
agāgu_1 [be furious 69];nâḫu_1 [rest 13];0.007
agāgu_1 [be furious 69];apāru_1 [cover head 29];0.007
ezēzu_1 [be angry 205];qardūtu_1 [heroism 14];0.014
ezēzu_1 [be angry 205];ezēzu_1 [be angry 205];0.013
ezēzu_1 [be angry 205];šahāṭu_1 [jump 43];0.013
ezēzu_1 [be angry 205];kakku_1 [stick 952];0.013
ezēzu_1 [be angry 205];šamāru_1 [rage 93];0.01
ezēzu_1 [be angry 205];ūmu_2 [stormdemon 14];0.01
ezēzu_1 [be angry 205];hamuttu_1 [haste 5];0.01
ezēzu_1 [be angry 205];allallu_2 [powerful 6];0.01
ezēzu_1 [be angry 205];šalummatu_1 [radiance 25];0.009
ezēzu_1 [be angry 205];qarrādu_1 [hero 55];0.009
galātu_1 [tremble 88];parādu_1 [be scared 169];0.02
galātu_1 [tremble 88];galātu_1 [tremble 88];0.014
galātu_1 [tremble 88];Badnigerimhuluha_1 [Badnigerimhuluha 5];0.013
galātu_1 [tremble 88];ašuštu_1 [affliction 10];0.012
galātu_1 [tremble 88];nakādu_1 [beat 21];0.012
galātu_1 [tremble 88];arurtu_1 [famine 5];0.012
galātu_1 [tremble 88];ḫūṣu_1 [pain 13];0.01
galātu_1 [tremble 88];ḫīpu_1 [break 18];0.009
galātu_1 [tremble 88];daʾmu_1 [dark 19];0.008
galātu_1 [tremble 88];naṣmadu_1 [harness 6];0.007
kamālu_1 [be angry 29];ridâtu_1 [persecution 5];0.015
kamālu_1 [be angry 29];šunūl_1 [buried 13];0.011
kamālu_1 [be angry 29];pašāru_1 [release 406];0.008
kamālu_1 [be angry 29];zīru_2 [twisted 14];0.008
kamālu_1 [be angry 29];ilu_1 [god 4706];0.006
kamālu_1 [be angry 29];awīlu_1 [man 1627];0.005
kamālu_1 [be angry 29];Zappu_1 [Bristle 150];0.005
kamālu_1 [be angry 29];eṭēru_1 [take away 82];0.005
kamālu_1 [be angry 29];ištaru_1 [goddess 262];0.005
kamālu_1 [be angry 29];palāsu_1 [look 200];0.004
labābu_1 [rage 22];tizqāru_1 [exalted 22];0.012
labābu_1 [rage 22];munehhu_1 [who repulses 8];0.012
labābu_1 [rage 22];šūpû_1 [resplendent 13];0.01
labābu_1 [rage 22];dapīnu_1 [overbearing 13];0.009
labābu_1 [rage 22];ṣēnu_2 [evil 14];0.009
labābu_1 [rage 22];imhullu_1 [destructive wind 19];0.008
labābu_1 [rage 22];gāmilu_1 [merciful 19];0.008
labābu_1 [rage 22];gašru_1 [strong 98];0.006
labābu_1 [rage 22];Nudimmud [[1, (a name of Ea)]];0.006
labābu_1 [rage 22];nêru_1 [kill 42];0.006
palāhu_1 [afraid 631];melemmu_1 [fearsome radiance 121];0.016
palāhu_1 [afraid 631];sahāpu_1 [envelop 183];0.014
palāhu_1 [afraid 631];namurratu_1 [aweinspiring radiance 62];0.01
palāhu_1 [afraid 631];rasānu_1 [soak 10];0.008
palāhu_1 [afraid 631];ilu_1 [god 4706];0.007
palāhu_1 [afraid 631];hātu_1 [terror 46];0.007
palāhu_1 [afraid 631];Belet-Arbail [[1]];0.007
palāhu_1 [afraid 631];šarru_1 [king 18514];0.006
palāhu_1 [afraid 631];adāru_2 [be afraid 155];0.006
palāhu_1 [afraid 631];nakādu_1 [beat 21];0.006
parādu_1 [be scared 169];nashu_1 [torn 162];0.029
parādu_1 [be scared 169];bēru_2 [distant 128];0.029
parādu_1 [be scared 169];tamītu_1 [oath 231];0.027
parādu_1 [be scared 169];šupêlu_1 [exchange 110];0.023
parādu_1 [be scared 169];galātu_1 [tremble 88];0.02
parādu_1 [be scared 169];māru&&bārû_1 [sondiviner 114];0.02
parādu_1 [be scared 169];ḫātu_1 [terror 5];0.019
parādu_1 [be scared 169];enû_1 [change 187];0.018
parādu_1 [be scared 169];kūnu_1 [firm 132];0.016
parādu_1 [be scared 169];ḫūṣu_1 [pain 13];0.014
raʾābu_1 [shake from anger 55];uššušu_1 [very distressed 5];0.023
raʾābu_1 [shake from anger 55];raʾābu_1 [shake from anger 55];0.019
raʾābu_1 [shake from anger 55];šabāsu_1 [be angry 42];0.014
raʾābu_1 [shake from anger 55];qarrādu_1 [hero 55];0.011
raʾābu_1 [shake from anger 55];išdihu_1 [profitable business 12];0.011
raʾābu_1 [shake from anger 55];namerimburrudû_1 [ritual to remove curse 7];0.011
raʾābu_1 [shake from anger 55];naʾāru_1 [roar 6];0.01
raʾābu_1 [shake from anger 55];magāgu_1 [spread 12];0.01
raʾābu_1 [shake from anger 55];Sarranu [[(a group of deities or their impersonators)]];0.01
raʾābu_1 [shake from anger 55];simmu_1 [wound 12];0.009
râmu_1 [love 489];râmu_1 [love 489];0.018
râmu_1 [love 489];šangûtu_1 [priest 92];0.016
râmu_1 [love 489];dādu_1 [darling 20];0.014
râmu_1 [love 489];ṣīhtu_1 [laughter 27];0.013
râmu_1 [love 489];šūpû_1 [resplendent 13];0.01
râmu_1 [love 489];kittu_1 [steadiness 105];0.009
râmu_1 [love 489];migru_1 [consent 93];0.009
râmu_1 [love 489];Muʾati [[1]];0.009
râmu_1 [love 489];hīrtu_1 [equal ranking wife 47];0.009
râmu_1 [love 489];buʾʾuru_1 [hunting 19];0.009
zenû_1 [be angry 72];salāmu_1 [at peace 101];0.024
zenû_1 [be angry 72];zenû_1 [be angry 72];0.023
zenû_1 [be angry 72];puḫpuḫḫû_1 [squabble 5];0.018
zenû_1 [be angry 72];ištaru_1 [goddess 262];0.016
zenû_1 [be angry 72];idāti_1 [ominous condition 7];0.015
zenû_1 [be angry 72];šabāsu_1 [be angry 42];0.013
zenû_1 [be angry 72];ittāti_1 [sign 9];0.013
zenû_1 [be angry 72];ḫātu_1 [terror 5];0.012
zenû_1 [be angry 72];ilu_1 [god 4706];0.01
zenû_1 [be angry 72];ittu_2 [peculiarity 36];0.009
šabāsu_1 [be angry 42];mēreštu_2 [wish 13];0.017
šabāsu_1 [be angry 42];ištaru_1 [goddess 262];0.013
šabāsu_1 [be angry 42];zenû_1 [be angry 72];0.013
šabāsu_1 [be angry 42];raʾābu_1 [shake from anger 55];0.013
šabāsu_1 [be angry 42];uššušu_1 [very distressed 5];0.013
šabāsu_1 [be angry 42];ubānāt_1 [finger 10];0.012
šabāsu_1 [be angry 42];salātu_2 [family 19];0.01
šabāsu_1 [be angry 42];bābtu_1 [city district 9];0.008
šabāsu_1 [be angry 42];šuttu_1 [dream 114];0.007
